Repo,Message,Commit
ARIndoorNav,"Added 2 versions of a Hough line transform and visualized results

Version 1 does not work and Version 2 takes too much processing power at the moment. Adjusting thresholds and tweaking numbers will result in better performance.
",8e28de4a8524a8130143643a646ef0402b1b7291
ARIndoorNav,"Adjusted pose aligning method to be more reliable and faster

The calculations for the target rotation and position have been tested and finalized.
",ddd6e14eeda4b2a16846a4b3cde2fba892af9262
BeerAmaze,"UI Optimized
",83e4819aa8783649b243b49401b04659c09198ee
ChemViewAR,"Improved all molecule rendering performance. Added NaCl test molecule.
",d3400ba8921591a9a7dcd60d85a6c07c345c1309
ChemViewAR,"Added improved ibuprofen structure for performance testing. Improved performance in MoleculeController script.
",54ebcaf3644d4753f67cbd5d4b13402694b2a6f8
ChemViewAR,"Added decimated ibuprofen model for performance testing
",a54a44f0c874c97a93c5e27386e6774e91b7667e
ChemViewAR,"Revert ""Revert ""Added destruction to selection sheet when faded out. Added decimated test model to see impact on performance on reducing faces in model""""

This reverts commit 44997d580a61aafe3d235e414048dd296e61ffbd.
",4421501a6a3f6de3388ff8c2ebb7c688054edcf4
ChemViewAR,"Revert ""Added destruction to selection sheet when faded out. Added decimated test model to see impact on performance on reducing faces in model""

This reverts commit 99eb8a28ef760915807159858b9d48872586cb69.
",44997d580a61aafe3d235e414048dd296e61ffbd
ChemViewAR,"Added destruction to selection sheet when faded out. Added decimated test model to see impact on performance on reducing faces in model
",99eb8a28ef760915807159858b9d48872586cb69
ChemViewAR,"Improved molecule physics rotation slow down. Added collisions to molecule selection list UI
",46f245d49968340dbb7e12d919d8a3bedf854cf0
cube-arena,"Flip performance ratings.
",7b930d8660c6087d37d2f66f6542fa8a0a3a417e
cube-arena,"Optimize settings. Add player number to screen.
",ce45651013133f5c06fcc663538d028e547ab152
cube-arena,"Optimize UI on HoloLens.
",c858bb206fe9034e440f135d28c3756e7e87774d
cube-arena,"Optimize spray effectiveness.
",fb85cd5ae48e19519abddb4bdbf0b391d5aeb889
cube-arena,"Optimize network transform thresholds.
",191f73f8ff96c1b3fb78ebfed62f6f9025607854
cube-arena,"Optimize NetworkTransform thresholds.
",a90e9a57c89da4e593caef7f16a3357fb0ae84f9
cube-arena,"Add TransformUtil performance tests.
",d9d75d76f4432d04f22c3c0b937b583d0977dd1f
cube-arena,"Optimize network thresholds.
",92d91fe951c8a7352dfa0e03edd2bd30cdc98c19
cube-arena,"Optimize rotaters.
",3dabbadda9c741575025f60392db9af19a24d797
Elektronik-Tools-2.0,"High-optimized observations
",4fef6a1cabec0df39b0d0241294791ee9203306d
